Time_us,AccX_g,AccY_g,AccZ_g,GyroX_dps,GyroY_dps,GyroZ_dps
841256109.0,0.128174,0.075684,0.947754,-2.160305,-4.183206,-1.938931
841267970.0,0.130615,0.080078,0.946777,-1.977099,-4.145038,-1.969466
841279833.0,0.12085,0.075439,0.95459,-2.244275,-4.10687,-1.954198
841291708.0,0.128174,0.080078,0.9375,-2.030534,-4.137404,-1.931298
841303574.0,0.126709,0.082031,0.945312,-1.778626,-4.259542,-1.839695
841315438.0,0.133301,0.078125,0.936768,-2.038168,-4.183206,-1.954198
841327312.0,0.126221,0.078613,0.95166,-1.946565,-4.10687,-2.045802
841339188.0,0.126709,0.074219,0.945801,-2.305344,-4.282443,-2.030534
841351048.0,0.127197,0.082031,0.934326,-2.122137,-4.137404,-1.839695
841362908.0,0.121338,0.072754,0.947266,-2.038168,-4.389313,-1.832061
841374773.0,0.124023,0.072021,0.939453,-1.961832,-4.183206,-1.877863
841386642.0,0.132812,0.081299,0.940918,-2.083969,-4.343512,-1.969466
841398508.0,0.121826,0.083984,0.945557,-2.129771,-4.076336,-1.938931
841410374.0,0.122559,0.087646,0.957764,-1.877863,-4.221374,-1.687023
841422248.0,0.130127,0.08252,0.952393,-2.145038,-4.343512,-1.954198
841434109.0,0.126221,0.078125,0.942383,-2.160305,-4.236641,-1.854962
841445970.0,0.130859,0.078857,0.949707,-1.969466,-4.229008,-1.954198
841457833.0,0.132324,0.066895,0.937988,-2.229008,-3.854962,-1.877863
841469706.0,0.122559,0.082764,0.94458,-2.015267,-4.534351,-2.007634
841481573.0,0.122803,0.066162,0.962646,-2.007634,-3.580153,-1.908397
841493438.0,0.122314,0.084961,0.934082,-1.961832,-4.236641,-1.839695
841505310.0,0.127197,0.087891,0.941895,-2.038168,-4.564886,-1.778626
841517181.0,0.12915,0.080322,0.947266,-2.068702,-3.885496,-1.717557
841529044.0,0.118896,0.077637,0.967529,-2.167939,-3.778626,-1.839695
841540907.0,0.122803,0.087402,0.938965,-1.954198,-4.519084,-1.755725
841552772.0,0.133301,0.078125,0.937256,-1.969466,-4.435114,-1.80916
841564642.0,0.121582,0.078613,0.962402,-1.984733,-3.549618,-1.870229
841576509.0,0.123535,0.082764,0.947266,-2.198473,-4.335878,-2.038168
841588374.0,0.126953,0.075195,0.932617,-2.076336,-4.61832,-1.793893
841600248.0,0.131592,0.076904,0.954834,-2.267176,-3.946565,-1.923664
841612109.0,0.127197,0.075928,0.952637,-1.847328,-3.946565,-1.717557
841623973.0,0.126953,0.079346,0.940918,-2.175573,-4.045802,-2.007634
841635836.0,0.123291,0.077393,0.945312,-2.030534,-4.61832,-1.984733
841647707.0,0.129883,0.08374,0.943848,-2.114504,-4.259542,-1.793893
841659574.0,0.123535,0.075195,0.948975,-2.129771,-3.526718,-1.877863
841671440.0,0.125244,0.080078,0.952148,-2.19084,-4.305344,-1.832061
841683310.0,0.119629,0.078369,0.950684,-2.053435,-4.557252,-1.931298
841695188.0,0.133545,0.075439,0.942871,-1.938931,-3.938931,-1.748092
841707050.0,0.124512,0.084473,0.946533,-1.977099,-3.763359,-1.961832
