RX_ESP_elapsed_us,PC_time_us,UTC_Date,UTC_Time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Temp,Roll,Pitch,Yaw,Lat,Lng,Speed_kmph,Alt_meters,Satellites,HDOP,Heading
10147731,1766326442105495,0,0,-0.000468,0.000931,1.004514,0.007126,-0.051682,-0.00766,0.0,0.0,0.0,25.18,0.04,0.03,180.0,0.0,0.0,0.0,0.0,0,99.99,0.0
10174731,1766326442132495,0,0,-0.000285,0.000748,1.003294,-0.015762,-0.036423,-0.00766,0.0,0.0,0.0,25.18,0.04,0.02,180.0,0.0,0.0,0.0,0.0,0,99.99,0.0
10200731,1766326442158495,0,0,-0.000102,-0.00029,1.003843,-0.000503,-0.005905,-0.030548,0.0,0.0,0.0,25.18,-0.01,0.01,180.0,0.0,0.0,0.0,0.0,0,99.99,0.0
10226730,1766326442184494,0,0,-0.001079,-0.000229,1.002683,-0.008133,-0.036423,-3.1e-05,0.0,0.0,0.0,25.18,-0.0,0.06,180.0,0.0,0.0,0.0,0.0,0,99.99,0.0
10255739,1766326442213503,0,0,-0.000957,-4.6e-05,1.003782,-0.008133,-0.021164,-0.038177,0.0,0.0,0.0,25.19,-0.01,0.05,180.0,0.0,0.0,0.0,0.0,0,99.99,0.0
10284730,1766326442242494,0,0,-0.000468,-0.000473,1.00366,0.014755,-0.021164,-3.1e-05,0.0,0.0,0.0,25.2,-0.02,0.04,180.0,0.0,0.0,0.0,0.0,0,99.99,0.0
10310980,1766326442268744,0,0,-0.000774,-0.000595,1.003538,0.014755,-0.021164,-0.015289,0.0,0.0,0.0,25.19,-0.03,0.04,180.0,0.0,0.0,0.0,0.0,0,99.99,0.0
10341730,1766326442299494,0,0,-0.000529,0.000199,1.002378,-0.008133,0.009354,-0.022919,0.0,0.0,0.0,25.19,0.0,0.02,180.0,0.0,0.0,0.0,0.0,0,99.99,0.0
10367730,1766326442325494,0,0,-0.000957,0.000199,1.002561,0.037643,0.016983,-0.015289,0.0,0.0,0.0,25.19,0.0,0.05,180.0,0.0,0.0,0.0,0.0,0,99.99,0.0
10394730,1766326442352494,0,0,-0.000529,0.000687,1.003049,0.007126,-0.013535,0.022858,0.0,0.0,0.0,25.18,0.05,0.05,180.0,0.0,0.0,0.0,0.0,0,99.99,0.0
10420732,1766326442378496,0,0,-0.000651,0.000199,1.004087,-0.008133,-0.013535,-0.00766,0.0,0.0,0.0,25.18,0.01,0.03,180.0,0.0,0.0,0.0,0.0,0,99.99,0.0
10446734,1766326442404498,0,0,-0.000102,1.6e-05,1.003538,0.030014,-0.005905,-0.015289,0.0,0.0,0.0,25.18,0.01,0.0,180.0,0.0,0.0,0.0,0.0,0,99.99,0.0
10490738,1766326442448502,0,0,-0.000957,0.000931,1.004331,-0.008133,-0.028793,0.015228,0.0,0.0,0.0,25.19,0.05,0.06,180.0,0.0,0.0,0.0,0.0,0,99.99,0.0
10517731,1766326442475495,0,0,-0.000774,0.00087,1.005125,-0.023392,-0.044052,-3.1e-05,0.0,0.0,0.0,25.19,0.05,0.05,180.0,0.0,0.0,0.0,0.0,0,99.99,0.0
10544737,1766326442502501,0,0,-0.00114,0.000138,1.004148,-0.03865,-0.021164,-0.00766,0.0,0.0,0.0,25.19,0.01,0.08,180.0,0.0,0.0,0.0,0.0,0,99.99,0.0
10569731,1766326442527495,0,0,-0.00059,-0.000229,1.003904,-0.015762,-0.028793,0.022858,0.0,0.0,0.0,25.19,-0.0,0.05,180.0,0.0,0.0,0.0,0.0,0,99.99,0.0
10595730,1766326442553494,0,0,-0.001018,-0.000412,1.002927,-0.031021,-0.028793,0.022858,0.0,0.0,0.0,25.19,-0.03,0.05,180.0,0.0,0.0,0.0,0.0,0,99.99,0.0
10620733,1766326442578497,0,0,-0.000713,-0.000412,1.002988,-0.008133,-0.005905,-3.1e-05,0.0,0.0,0.0,25.18,-0.03,0.05,180.0,0.0,0.0,0.0,0.0,0,99.99,0.0
10647731,1766326442605495,0,0,-0.000102,7.7e-05,1.004026,0.014755,-0.028793,0.007599,0.0,0.0,0.0,25.19,-0.0,0.01,180.0,0.0,0.0,0.0,0.0,0,99.99,0.0
10673732,1766326442631496,0,0,-0.000713,0.000565,1.003232,-0.000503,-0.021164,-3.1e-05,0.0,0.0,0.0,25.19,0.02,0.06,180.0,0.0,0.0,0.0,0.0,0,99.99,0.0
10700731,1766326442658495,0,0,-0.000346,0.000748,1.002988,-0.015762,-0.005905,-0.00766,0.0,0.0,0.0,25.19,0.04,0.0,180.0,0.0,0.0,0.0,0.0,0,99.99,0.0
10725731,1766326442683495,0,0,-0.000224,0.000931,1.002866,-0.015762,-0.005905,0.015228,0.0,0.0,0.0,25.19,0.06,0.01,180.0,0.0,0.0,0.0,0.0,0,99.99,0.0
10753730,1766326442711494,0,0,-0.000224,0.000565,1.004148,-0.000503,0.001724,0.030487,0.0,0.0,0.0,25.19,0.04,0.02,180.0,0.0,0.0,0.0,0.0,0,99.99,0.0
10779730,1766326442737494,0,0,-0.000774,0.00026,1.003843,0.007126,-0.005905,0.015228,0.0,0.0,0.0,25.19,0.0,0.03,180.0,0.0,0.0,0.0,0.0,0,99.99,0.0
10797730,1766326442755494,0,0,-0.001262,0.00026,1.00427,-0.000503,0.001724,0.015228,0.0,0.0,0.0,25.19,0.01,0.07,180.0,0.0,0.0,0.0,0.0,0,99.99,0.0
10822730,1766326442780494,0,0,-0.000102,0.000626,1.003599,-0.061539,-0.028793,-0.038177,0.0,0.0,0.0,25.19,0.04,0.01,180.0,0.0,0.0,0.0,0.0,0,99.99,0.0
10847731,1766326442805495,0,0,-0.000835,0.000199,1.003599,-0.031021,-0.036423,-0.022919,0.0,0.0,0.0,25.19,0.0,0.03,180.0,0.0,0.0,0.0,0.0,0,99.99,0.0
10889730,1766326442847494,0,0,-0.000529,0.000626,1.003355,-0.031021,-0.028793,0.030487,0.0,0.0,0.0,25.18,0.04,0.03,180.0,0.0,0.0,0.0,0.0,0,99.99,0.0
10916730,1766326442874494,0,0,-0.000346,0.000199,1.00366,-0.031021,-0.028793,0.015228,0.0,0.0,0.0,25.19,-0.0,0.02,180.0,0.0,0.0,0.0,0.0,0,99.99,0.0
10942730,1766326442900494,0,0,-0.000102,0.00026,1.003599,-0.015762,0.009354,-0.00766,0.0,0.0,0.0,25.19,0.01,0.02,180.0,0.0,0.0,0.0,0.0,0,99.99,0.0
10970730,1766326442928494,0,0,-0.000407,0.000199,1.002317,-0.000503,-0.021164,0.007599,0.0,0.0,0.0,25.19,0.01,0.02,180.0,0.0,0.0,0.0,0.0,0,99.99,0.0
10997731,1766326442955495,0,0,-0.00059,0.000626,1.002561,0.022385,0.009354,-3.1e-05,0.0,0.0,0.0,25.19,0.03,0.04,180.0,0.0,0.0,0.0,0.0,0,99.99,0.0
11025731,1766326442983495,0,0,-0.00059,0.000321,1.002683,0.030014,0.001724,-0.00766,0.0,0.0,0.0,25.19,0.02,0.03,180.0,0.0,0.0,0.0,0.0,0,99.99,0.0
11052730,1766326443010494,0,0,-0.000285,0.001236,1.003049,-0.008133,-0.036423,-0.030548,0.0,0.0,0.0,25.19,0.07,0.02,180.0,0.0,0.0,0.0,0.0,0,99.99,0.0
