Time_us,AccX_g,AccY_g,AccZ_g,GyroX_dps,GyroY_dps,GyroZ_dps
294945635,0.056641,0.083740,0.956543,-2.305344,-4.099236,-1.954198
294957502,0.059082,0.079346,0.955322,-2.297710,-4.152672,-1.809160
294969367,0.066650,0.066895,0.951172,-2.129771,-4.328244,-1.839695
294981241,0.061279,0.070312,0.956787,-2.030534,-4.129771,-2.015267
294993106,0.057861,0.079346,0.951172,-1.916031,-4.145038,-1.977099
295004968,0.052246,0.081055,0.958496,-1.961832,-4.221374,-1.946565
295016833,0.053467,0.080322,0.952148,-2.206107,-4.175572,-1.946565
295028706,0.057129,0.074707,0.954590,-2.045802,-3.893130,-1.938931
295040576,0.046631,0.083008,0.959961,-2.106870,-3.969466,-1.801527
295052442,0.057129,0.079102,0.960205,-2.099237,-4.198473,-1.946565
295064311,0.051758,0.077393,0.957764,-1.793893,-4.251908,-2.045802
295076188,0.058594,0.070068,0.951416,-1.984733,-3.801527,-2.038168
295088048,0.054199,0.073486,0.957275,-1.870229,-4.213740,-1.984733
295099911,0.054443,0.079346,0.951416,-2.030534,-4.351145,-1.801527
295111776,0.063232,0.082275,0.945557,-1.961832,-4.496183,-2.152672
295123647,0.064453,0.077637,0.961670,-2.106870,-4.129771,-1.862595
295135510,0.060791,0.072998,0.955566,-2.030534,-3.992366,-1.770992
295147372,0.055908,0.078613,0.956787,-1.847328,-4.267176,-2.045802
295159245,0.049805,0.075439,0.962402,-1.809160,-4.328244,-1.793893
295171113,0.052979,0.070312,0.947998,-1.664122,-3.977099,-2.061069
295182975,0.050293,0.083008,0.951660,-1.946565,-4.282443,-1.885496
295194838,0.051270,0.080322,0.955811,-1.870229,-3.961832,-1.946565
295206712,0.052002,0.085693,0.956787,-2.061069,-4.167939,-1.923664
295218577,0.049805,0.073730,0.954102,-2.183206,-4.000000,-1.969466
295230442,0.053955,0.072754,0.957275,-2.007634,-4.175572,-1.877863
295242311,0.059570,0.076172,0.951416,-1.923664,-3.900763,-1.816794
295254188,0.051025,0.080078,0.963135,-2.068702,-4.488550,-1.969466
295266055,0.049316,0.075439,0.958984,-2.007634,-4.213740,-1.931298
295277913,0.053955,0.076416,0.954346,-1.916031,-4.083970,-1.992366
295289778,0.050293,0.083496,0.955322,-2.022901,-4.473282,-1.778626
295301648,0.053955,0.079102,0.956787,-2.061069,-4.290076,-1.900763
295313509,0.052490,0.079834,0.955811,-2.198473,-4.198473,-2.068702
295325372,0.059082,0.066650,0.958496,-2.091603,-4.229008,-1.969466
295337243,0.052734,0.075928,0.948486,-1.435115,-4.259542,-1.916031
295349113,0.052490,0.078125,0.943604,-1.854962,-3.984733,-2.160305
295360975,0.055908,0.081299,0.965820,-1.923664,-4.053435,-1.916031
295372837,0.054443,0.082520,0.956055,-1.770992,-4.343512,-1.938931
295384708,0.055420,0.078857,0.960449,-1.992366,-4.122138,-2.053435
295396572,0.058350,0.079346,0.958740,-1.992366,-4.251908,-1.977099
